Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
12100	-293.649	-306.9029	13.25382	1	0	0	1	0.003733826	0.003733826	0.001517837	0.01109328	0.002328716	0.001301484	0.003981364	0.003981364	0.376906	0.284377	0.266512	0.0722042
12200	-296.3547	-313.2992	16.94448	1	0	1	0	0.00356544	0.00356544	0.002286806	0.008296423	0.001222367	0.001222367	0.0009300608	0.004518755	0.523604	0.107892	0.258964	0.109541
12300	-293.4968	-306.7469	13.25006	1	0	0	1	0.003548959	0.003548959	0.00174519	0.009732122	0.002477281	0.0007571363	0.005699015	0.005699015	0.685454	0.0766725	0.207117	0.0307565
12400	-293.3582	-304.5941	11.23594	0	0	1	1	0.004465731	0.0003881792	0.001626976	0.01224393	0.002902778	0.002902778	0.004043895	0.004043895	0.456402	0.00853249	0.299748	0.235318
12500	-297.1206	-311.2709	14.15028	1	0	0	1	0.004556945	0.004556945	0.001614598	0.01097422	0.003724428	0.0008670902	0.00145734	0.00145734	0.197428	0.22306	0.0497212	0.529791
12600	-301.1038	-310.4576	9.35376	1	0	1	1	0.003720296	0.003720296	0.001266555	0.008729113	0.002592182	0.002592182	0.004953918	0.004953918	0.0863088	0.459497	0.0843519	0.369843
12700	-295.9604	-309.1037	13.1433	0	0	1	1	0.00346672	9.570595e-05	0.002313066	0.008910297	0.00369047	0.00369047	0.00557418	0.00557418	0.494486	0.0202241	0.17743	0.307859
12800	-293.8344	-310.2994	16.46501	0	0	1	1	0.004425192	0.0001610141	0.001441823	0.008601082	0.002751221	0.002751221	0.003847019	0.003847019	0.37392	0.174312	0.269604	0.182165
12900	-294.6436	-310.3144	15.67085	0	0	1	1	0.003233989	0.0007450957	0.001034022	0.008350775	0.003295476	0.003295476	0.005242943	0.005242943	0.779193	0.0465938	0.00531976	0.168894
13000	-293.8741	-309.3402	15.46605	0	0	0	1	0.003518733	0.0005929839	0.002816833	0.01151507	0.005397162	0.001064403	0.00318024	0.00318024	0.548651	0.249787	0.0522567	0.149305
13100	-294.2736	-308.4873	14.21375	1	0	0	1	0.005284145	0.005284145	0.00183088	0.009792429	0.002619098	0.0002435108	0.00337061	0.00337061	0.532184	0.0520887	0.0784241	0.337303
