Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
116	0	-301.1645	-309.5056	8.341106	0	0	1	1	0.002575584	0.0004702845	0.0001128242	0.008319921	0.006135701	0.006135701	0.01135097	0.01135097	0.0431399	0.00264301	0.691259	0.262958
117	1	-305.8073	-318.9428	13.13552	1	0	1	1	0.00131497	0.00131497	0.0002367338	0.003051626	0.007133468	0.007133468	0.006809759	0.006809759	0.04813	0.0917087	0.597264	0.262897
118	0	-300.3005	-316.4369	16.13631	0	0	1	1	0.003609279	0.000425685	0.0003280555	0.006799631	0.005721128	0.005721128	0.005215732	0.005215732	0.223341	0.232657	0.492254	0.0517488
119	1	-298.7874	-311.2643	12.4769	0	0	1	1	0.001732481	0.0002033749	0.0002143407	0.005572861	0.00622622	0.00622622	0.01137333	0.01137333	0.155309	0.395334	0.253539	0.195818
120	0	-310.6851	-313.5184	2.833269	1	0	1	1	0.0009349618	0.0009349618	0.0006832402	0.006087141	0.00981814	0.00981814	0.01009698	0.01009698	0.0345997	0.0364697	0.800635	0.128296
121	1	-297.7633	-314.1235	16.36019	0	0	1	1	0.0008321703	0.0006127784	0.0001105371	0.004755334	0.005614085	0.005614085	0.009977418	0.009977418	0.220696	0.00346753	0.730188	0.0456485
122	0	-303.0683	-312.8001	9.731812	1	0	1	1	0.002497374	0.002497374	0.0001873316	0.005775783	0.006820168	0.006820168	0.006263781	0.006263781	0.0403311	0.0776322	0.806236	0.0758011
123	1	-304.5991	-318.2035	13.60431	1	0	1	1	0.002529226	0.002529226	3.415095e-05	0.005627393	0.005527429	0.005527429	0.004415461	0.004415461	0.0948923	0.38037	0.264625	0.260113
124	0	-306.442	-315.4263	8.984318	1	0	1	1	0.003521609	0.003521609	3.993542e-05	0.003847541	0.005400537	0.005400537	0.009393185	0.009393185	0.325469	0.100025	0.513465	0.0610407
125	1	-305.3886	-316.4255	11.03689	1	0	1	1	0.001820978	0.001820978	4.823662e-05	0.007154222	0.006158983	0.006158983	0.005212546	0.005212546	0.228598	0.523454	0.111954	0.135994
126	0	-301.2903	-314.6256	13.33531	0	0	1	1	0.002808164	0.003209854	0.0002518827	0.004808981	0.007788539	0.007788539	0.005699128	0.005699128	0.054652	0.272668	0.65457	0.0181098
127	1	-306.3435	-318.1395	11.79605	1	0	1	1	0.0008920792	0.0008920792	0.0003874138	0.006929439	0.006964928	0.006964928	0.004552462	0.004552462	0.224558	0.207368	0.257385	0.310689
